smiles,log_solubility
CCO,1.10
CO,1.57
CCCO,0.62
CCCCO,-0.05
OCCO,1.20
OCC(O)CO,1.12
CC(=O)O,1.22
CCOCC,-0.09
CC(C)O,0.43
CCCCCCO,-1.02
c1ccccc1,-1.64
Cc1ccccc1,-2.21
CCc1ccccc1,-2.77
Cc1ccccc1C,-2.82
c1ccc2ccccc2c1,-3.62
c1ccc2c(c1)ccc1ccccc12,-5.26
Clc1ccccc1,-2.38
Clc1ccc(Cl)cc1,-3.27
Clc1ccccc1Cl,-3.05
Brc1ccccc1,-2.55
Oc1ccccc1,-0.03
Oc1ccc(cc1)C,-0.68
Nc1ccccc1,-0.41
CC(=O)Oc1ccccc1C(=O)O,-1.72
CC(C)Cc1ccc(C(C)C(=O)O)cc1,-3.80
OC(=O)c1ccccc1O,-1.54
CC(=O)Nc1ccc(O)cc1,-1.03
c1ccc(cc1)C(=O)O,-1.55
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.90
CCCCCC,-3.84
CCCCCCC,-4.53
CCCCCCCC,-5.24
CCCCCCCCCC,-6.32
C1CCCCC1,-3.10
C1CCCCCC1,-3.51
CC(C)(C)O,0.35
CCN(CC)CC,-0.30
CCCCN,-0.05
CCCCCN,-0.60
CCCCCCN,-1.16
ClC(Cl)Cl,-1.17
ClC(Cl)(Cl)Cl,-2.31
CC(Cl)Cl,-1.29
CCCl,-1.06
FC(F)(F)c1ccccc1,-2.51
Nc1ccc(cc1)S(=O)(=O)N,-1.34
OCC1OC(O)C(O)C(O)C1O,0.74
O=C(O)CCCCC(=O)O,-0.06
NCCc1ccc(O)cc1,-0.66
Cc1ccc(cc1)S(=O)(=O)N,-1.85
CCOC(=O)c1ccccc1,-2.32
COc1ccccc1,-1.85
O=Cc1ccccc1,-1.19
CCC(=O)O,0.29
CCCCC(=O)O,-0.60
c1ccncc1,0.76
c1ccc2[nH]ccc2c1,-1.52
O=c1cc[nH]c(=O)[nH]1,-1.47
